Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.cat cat,,cat cat,1810,168.6439,0:05:35,0,
YT_SEARCH.entertainment for cats,,entertainment for cats,1808,2426.8614,1:20:32,0,
YT_SEARCH.cat video for cats to watch,,cat video for cats to watch,1782,610.4275,0:20:33,0,
YT_SEARCH.猫喜ぶ映像,,猫喜ぶ映像,1771,927.3165,0:31:25,0,
YT_SEARCH.dog tv no ads,,dog tv no ads,1738,5165.673,2:58:19,0,
YT_SEARCH.bird cat video,,bird cat video,1714,720.3781,0:25:13,0,
YT_SEARCH.고양이가 좋아하는 영상 광고없는,,고양이가 좋아하는 영상 광고없는,1699,2467.9166,1:27:09,0,
YT_SEARCH.для котов,,для котов,1669,1345.6318,0:48:22,0,
YT_SEARCH.bird for cat,,bird for cat,1647,484.5342,0:17:39,0,
YT_SEARCH.vídeos para gatos,,vídeos para gatos,1634,2601.5311,1:35:31,0,
YT_SEARCH.cat videos birds,,cat videos birds,1631,765.0191,0:28:08,0,
YT_SEARCH.cat bird videos,,cat bird videos,1627,1327.0242,0:48:56,0,
YT_SEARCH.cat movies for cats to watch,,cat movies for cats to watch,1607,1299.3368,0:48:30,0,
YT_SEARCH.새 영상,,새 영상,1590,873.5024,0:32:57,0,
YT_SEARCH.squirrel video,,squirrel video,1583,536.1393,0:20:20,0,
YT_SEARCH.birds for cat,,birds for cat,1560,764.8772,0:29:25,0,
YT_SEARCH.cats meowing,,cats meowing,1551,957.8139,0:37:03,0,
YT_SEARCH.cat games no ads,,cat games no ads,1547,2894.8575,1:52:16,0,
YT_SEARCH.猫の鳴き声,,猫の鳴き声,1534,585.8482,0:22:54,0,
YT_SEARCH.shows for cats,,shows for cats,1532,1972.9442,1:17:16,0,
YT_SEARCH.sensory videos for cats,,sensory videos for cats,1529,898.0574,0:35:14,0,
YT_SEARCH.猫が喜ぶ,,猫が喜ぶ,1526,1006.471,0:39:34,0,
YT_SEARCH.vogels voor katten,,vogels voor katten,1518,406.99,0:16:05,0,
YT_SEARCH.cats birds video,,cats birds video,1518,768.7057,0:30:23,0,
YT_SEARCH.birds for cats to watch 4k,,birds for cats to watch 4k,1512,2308.0697,1:31:35,0,
YT_SEARCH.cat interactive video,,cat interactive video,1512,1343.5045,0:53:18,0,
YT_SEARCH.cats tv for cats to watch,,cats tv for cats to watch,1505,1253.5289,0:49:58,0,
YT_SEARCH.cat videos for cats to watch squirrels,,cat videos for cats to watch squirrels,1495,1243.3437,0:49:54,0,
YT_SEARCH.birds for dogs to watch,,birds for dogs to watch,1488,951.9856,0:38:23,0,
YT_SEARCH.things for cats to watch,,things for cats to watch,1455,767.6173,0:31:39,0,
YT_SEARCH.videos for cats to watch no ads,,videos for cats to watch no ads,1436,2694.9176,1:52:36,0,
YT_SEARCH.cat tv lizards,,cat tv lizards,1426,1373.9711,0:57:48,0,
YT_SEARCH.kat tv,,kat tv,1424,1177.7362,0:49:37,0,
YT_SEARCH.猫用動画 鳥,,猫用動画 鳥,1418,530.7443,0:22:27,0,
YT_SEARCH.youtube cat videos,,youtube cat videos,1411,2316.3347,1:38:29,0,
YT_SEARCH.kediler için video,,kediler için video,1410,913.0308,0:38:51,0,
YT_SEARCH.cat shows for cats to watch,,cat shows for cats to watch,1387,1167.7886,0:50:31,0,
YT_SEARCH.відео для котів,,відео для котів,1384,859.928,0:37:16,0,
YT_SEARCH.새영상,,새영상,1374,766.7606,0:33:28,0,
